Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,total per country
LESOTHO,209.0,312.0,313.0,290.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,300.0,293.0,344.0,425.0,397.5,423.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4403.5
LIBYA,1832.0,1276.0,913.0,850.0,965.0,963.0,953.0,858.0,958.0,43.0,81.0,126.0,106.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9966.0
LIECHTENSTEIN,59.4,56.2,57.1,59.2,59.5,61.6,56.5,48.7,49.0,48.5,49.8,54.9,72.8,72.9,66.5,64.3,67.0,62.4,59.6,61.3,56.7,69.1,79.3,85.3,98.1,58.4,70.8,100.8,1805.6999999999996
LITHUANIA,2600.0,3497.0,3702.0,4287.0,4454.0,4092.0,4195.0,3999.0,3635.0,1800.0,2000.0,2180.0,4251.0,4459.0,4001.0,4073.0,4504.0,4979.0,5264.0,5218.0,5048.0,5322.0,5590.0,6115.0,6150.0,2285.0,2096.0,4725.0,114521.0
LUXEMBOURG,768.0,724.0,778.0,789.0,863.0,852.0,836.0,885.0,867.0,878.0,913.0,908.0,914.0,877.0,847.0,805.0,874.0,950.0,945.0,1038.0,1090.0,1054.0,1046.0,1018.0,1041.0,525.0,615.0,1013.0,24713.0
MACAO,7752.0,8151.0,7000.0,6949.0,7444.0,9162.0,10279.0,11531.0,11888.0,16673.0,18711.0,21998.0,27003.0,22933.0,21753.0,24966.0,28002.0,28082.0,29324.0,31526.0,30715.0,30951.0,32611.0,35804.0,39406.0,5897.0,7706.0,5700.0,539917.0
MADAGASCAR,85.0,83.0,101.0,121.0,138.0,160.0,170.0,62.0,139.0,229.0,277.0,312.0,344.0,375.0,163.0,196.0,225.0,256.0,196.0,222.0,282.0,333.0,285.0,360.0,486.0,87.0,8.0,0.0,5695.0
MALAWI,192.0,194.0,207.0,220.0,254.0,228.0,266.0,383.0,424.0,427.0,438.0,638.0,735.0,742.0,755.0,746.0,767.0,770.0,795.0,819.0,805.0,849.0,837.0,871.0,978.0,199.0,432.0,0.0,14971.0
MALAYSIA,14885.0,14084.0,12591.0,10886.0,13910.0,17213.0,22994.0,20756.0,16293.0,24432.0,24209.0,25298.0,28325.0,25321.0,31509.0,24577.0,24714.0,25033.0,25715.0,27437.0,25721.0,26757.0,25948.0,25832.0,35046.0,6102.0,400.0,19016.0,595004.0
MALDIVES,315.0,339.0,366.0,396.0,430.0,474.0,466.0,488.0,568.0,621.0,399.0,605.0,682.0,685.0,659.0,792.5,931.2,967.0,1127.0,1205.0,1234.0,1286.0,1390.0,1484.0,1703.0,555.0,1322.0,1675.0,23164.7
MALI,42.0,98.0,75.0,83.0,82.0,86.0,89.0,96.0,110.0,113.0,143.0,153.0,164.0,190.0,160.0,169.0,160.0,134.0,142.0,168.0,159.0,173.0,193.0,203.0,217.0,75.0,168.0,0.0,3645.0
MALTA,1193.0,1123.0,1238.0,1326.0,1402.0,1387.0,1439.0,1483.0,1512.0,1428.0,1485.0,1521.0,1723.0,1833.0,1608.0,1815.0,1916.0,2006.0,2013.0,2162.0,2383.0,2592.0,2944.0,3232.0,3519.0,718.0,1110.0,2777.0,50888.0
MARSHALL ISLANDS,5.5,6.2,6.4,6.4,4.6,5.2,5.4,6.0,7.2,9.0,9.2,5.8,7.2,6.0,5.4,4.6,4.6,4.6,0.0,4.9,6.3,6.5,7.9,6.8,6.1,2.0,0.04,0.0,149.84
MARTINIQUE,885.0,885.0,900.0,964.0,903.0,816.0,663.0,654.0,722.0,630.0,577.0,599.0,573.0,568.0,512.0,553.0,538.0,603.0,623.0,696.0,761.0,842.0,1003.0,1002.0,919.0,523.0,312.0,661.0,19887.0
MAURITANIA,0.0,0.0,0.0,0.0,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
MAURITIUS,437.0,509.0,558.0,579.0,600.0,678.0,674.0,710.0,721.0,739.0,782.0,806.0,933.0,970.0,890.0,957.0,983.0,984.0,1015.0,1065.0,1174.0,1307.0,1372.0,1431.0,1418.0,316.0,181.0,1003.0,23792.0
MEXICO,85446.0,90394.0,92915.0,95214.0,99869.0,105673.0,100718.0,100154.0,92329.0,99250.0,103146.0,97701.0,93582.0,92948.0,88044.0,81954.0,75732.0,76749.0,78101.0,81042.0,87128.0,94853.0,99349.0,96497.0,97406.0,51669.0,55301.0,65995.0,2479159.0
MICRONESIA,0.0,18.0,17.0,13.0,16.0,21.0,15.0,19.0,18.0,19.0,19.0,19.0,21.0,26.0,48.0,45.0,35.0,38.0,42.0,35.0,31.0,30.0,0.0,19.0,18.0,0.0,0.0,0.0,582.0
MOLDOVA,33.0,29.1,21.0,19.5,14.3,18.8,16.2,20.0,24.0,69.0,67.0,63.0,70.0,73.0,60.0,64.0,75.0,89.0,96.0,94.0,94.0,121.0,145.0,160.0,174.0,29.0,69.0,162.0,1969.9
MONACO,256.0,252.0,281.0,334.0,338.0,376.0,342.0,319.0,315.0,375.0,419.0,493.0,510.0,556.0,501.0,601.0,580.0,525.0,573.0,523.0,586.0,518.0,521.0,516.0,545.0,160.0,218.0,382.0,11915.0
MONGOLIA,0.0,0.0,0.0,165.0,155.0,154.0,187.0,229.0,201.0,301.0,339.0,404.0,452.0,446.0,412.0,456.0,460.0,476.0,418.0,393.0,386.0,404.0,469.0,529.0,577.0,59.0,33.0,286.0,8391.0
MONTENEGRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,142.0,188.0,272.0,378.0,984.0,1031.0,1044.0,1088.0,1201.0,1264.0,1324.0,1350.0,1560.0,1662.0,1877.0,2077.0,2510.0,351.0,1554.0,2036.0,24029.0
MONTSERRAT,19.3,9.0,6.1,9.4,13.0,14.3,15.600000000000001,15.0,13.600000000000001,15.2,13.1,9.5,8.7,8.4,7.3,7.7,7.4,9.9,8.7,10.700000000000001,13.2,13.5,18.5,16.7,19.3,7.6,1.6,0.0,312.29999999999995
MOROCCO,2752.0,2856.0,3203.0,3267.0,4088.0,4458.0,4596.0,4708.0,5021.0,5733.0,6076.0,6776.0,7701.0,8209.0,8660.0,9752.0,9784.0,9830.0,10349.0,10507.0,10542.0,10677.0,11540.0,12489.0,13109.0,2802.0,3722.0,10968.0,204175.0
MOZAMBIQUE,0.0,0.0,0.0,0.0,0.0,0.0,404.0,943.0,726.0,711.0,954.0,1095.0,1259.0,1439.0,1711.0,1836.0,2013.0,2206.0,1969.0,1751.0,1634.0,1715.0,1514.0,2870.0,2033.0,959.0,549.0,0.0,30291.0
MYANMAR,194.0,490.0,491.0,478.0,435.0,416.0,475.0,487.0,597.0,657.0,660.0,630.0,716.0,731.0,763.0,792.0,816.0,1059.0,2044.0,3081.0,4681.0,2907.0,3443.0,3551.0,4364.0,903.0,131.0,233.0,36225.0
NAMIBIA,421.0,560.0,610.0,681.0,694.0,759.0,700.0,799.0,739.0,716.0,856.0,960.0,1048.0,1079.0,1100.0,1114.0,1163.0,1245.0,1327.0,1429.0,1488.0,1551.0,1581.0,1639.0,1651.0,188.0,262.0,528.0,26888.0
NEPAL,363.0,394.0,422.0,464.0,492.0,464.0,361.0,275.0,338.0,385.0,375.0,384.0,527.0,500.0,510.0,603.0,736.0,803.0,798.0,790.0,539.0,753.0,940.0,1173.0,1197.0,230.0,151.0,615.0,15582.0
NETHERLANDS,6574.0,6580.0,7841.0,9312.0,9874.0,10003.0,9500.0,9595.0,9181.0,9646.0,10012.0,10739.0,11008.0,10104.0,9921.0,10883.0,11300.0,11680.0,12783.0,13925.0,15007.0,15828.0,17924.0,18780.0,20129.0,7265.0,6248.0,16063.0,317705.0
NEW CALEDONIA,122.0,138.0,139.0,127.0,151.0,161.0,152.0,158.0,166.0,177.0,182.0,219.0,227.0,256.0,230.0,282.0,348.0,390.0,494.0,529.0,558.0,625.0,626.0,576.0,475.0,79.0,12.0,139.0,7738.0
NEW ZEALAND,0.0,0.0,0.0,1485.0,1607.0,1787.0,1909.0,2045.0,2104.0,2334.0,2366.0,2409.0,2455.0,2483.0,2473.0,2530.0,2616.0,2574.0,2710.0,2854.0,3129.0,3494.0,3723.0,3858.0,3888.0,996.0,207.0,1434.0,59470.0
NICARAGUA,339.0,387.0,453.0,483.0,530.0,582.0,583.0,579.0,646.0,735.0,804.0,891.0,978.0,1011.0,1010.0,1071.0,1121.0,1233.0,1273.0,1391.0,1456.0,1596.0,1958.0,1413.0,1454.0,474.0,312.0,933.0,25696.0
NIGER,35.0,68.0,68.0,41.0,39.0,50.0,52.0,39.0,55.0,57.0,58.0,60.0,48.0,73.0,66.0,74.0,82.0,94.0,123.0,135.0,135.0,152.0,164.0,157.0,192.0,85.0,0.0,0.0,2202.0
NIGERIA,656.0,822.0,611.0,739.0,776.0,813.0,850.0,887.0,924.0,962.0,1010.0,1111.0,1212.0,1313.0,1414.0,1555.0,715.0,486.0,600.0,0.0,1255.0,1889.0,1927.0,1966.0,2005.0,502.0,518.0,528.0,28046.0
NIUE,2.2,1.5,1.8,1.7,1.9,1.9,1.4,2.1,2.7,2.6,2.8,3.0,3.5,4.7,4.7,6.2,6.1,5.0,7.0,7.4,7.7,8.9,11.600000000000001,10.5,10.2,1.3,0.2,0.0,120.60000000000004
NORTH MACEDONIA,147.0,136.0,121.0,157.0,181.0,224.0,99.0,123.0,158.0,165.0,197.0,202.0,230.0,255.0,259.0,262.0,327.0,351.0,400.0,425.0,486.0,510.0,631.0,707.0,758.0,118.0,294.0,537.0,8460.0
NORTHERN MARIANA ISLANDS,676.0,736.0,695.0,490.0,501.0,529.0,444.0,476.0,459.0,536.0,507.0,436.0,389.0,397.0,354.0,379.0,341.0,401.0,439.0,460.0,478.0,531.0,660.0,518.0,487.0,89.0,13.0,97.0,12518.0
NORWAY,2880.0,2746.0,2702.0,5045.0,5123.0,5121.0,5115.0,4543.0,4686.0,5130.0,5418.0,5738.0,6017.0,6054.0,6114.0,6578.0,6693.0,4538.0,4778.0,4855.0,5361.0,5960.0,6252.0,5688.0,5879.0,1397.0,1435.0,4979.0,136825.0
OMAN,279.0,349.0,376.0,424.0,503.0,571.0,1095.0,1112.0,1210.0,1407.0,1102.0,1385.0,1359.0,1539.0,1585.0,1500.0,1393.0,1714.0,1923.0,2225.0,2634.0,3207.0,3179.0,3242.0,3506.0,868.0,652.0,2920.0,43259.0
PAKISTAN,378.0,369.0,375.0,429.0,432.0,557.0,500.0,498.0,501.0,648.0,798.0,898.0,840.0,823.0,855.0,907.0,1161.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11935.0
PALAU,53.0,69.0,74.0,64.0,55.0,58.0,54.0,59.0,63.0,89.0,81.0,82.0,88.0,81.0,71.0,85.0,111.0,120.0,108.0,140.0,162.0,138.0,123.0,106.0,94.0,18.0,0.0,0.0,2246.0
PALESTINE,0.0,220.0,210.0,200.0,300.0,310.0,43.0,33.0,37.0,56.0,88.0,123.0,928.0,1487.0,1740.0,2821.0,2730.0,3051.0,2874.0,2907.0,2054.0,2231.0,3192.0,3429.0,4232.0,1000.0,0.0,0.0,36296.0
PANAMA,417.0,442.0,504.0,529.0,555.0,600.0,737.0,801.0,897.0,1004.0,1070.0,1215.0,1428.0,1575.0,1562.0,1726.0,2004.0,2086.0,2202.0,2305.0,2553.0,2379.0,2517.0,2487.0,2494.0,647.0,804.0,1786.0,39326.0
PAPUA NEW GUINEA,42.0,61.0,66.0,67.0,67.0,58.0,54.0,54.0,56.0,59.0,69.0,78.0,104.0,120.0,126.0,146.0,165.0,175.0,182.0,191.0,199.0,198.0,182.0,195.0,211.0,39.0,17.0,70.0,3051.0
PARAGUAY,15678.0,12868.0,10955.0,9818.0,6569.0,3924.0,3550.0,3194.0,2859.0,2589.0,2648.0,2830.0,3005.0,3118.0,3183.0,3171.0,3365.0,3655.0,3538.0,3455.0,4102.0,4318.0,4744.0,4183.0,4368.0,1077.0,571.0,1548.0,128883.0
PERU,479.0,584.0,649.0,729.0,697.0,804.0,905.0,1304.0,1380.0,1650.0,1938.0,2227.0,2451.0,2581.0,2681.0,2948.0,3299.0,3642.0,4011.0,4062.0,4381.0,4718.0,4992.0,5384.0,5275.0,1119.0,444.0,2278.0,67612.0
PHILIPPINES,1764.0,2059.0,2241.0,2179.0,2189.0,1999.0,1801.0,1938.0,1912.0,2299.0,2625.0,2847.0,3109.0,3160.0,3038.0,3545.0,3925.0,4284.0,4697.0,4893.0,5431.0,6039.0,6735.0,7396.0,8423.0,1508.0,164.0,2654.0,94854.0
POLAND,82244.0,87439.0,87817.0,88592.0,89118.0,84515.0,61431.0,50735.0,52130.0,61918.0,64606.0,65115.0,66208.0,59935.0,53840.0,58340.0,60745.0,67390.0,72310.0,73750.0,77743.0,80476.0,83804.0,85946.0,88515.0,51076.0,51026.0,71815.0,1978579.0
PORTUGAL,22851.0,23031.0,24014.0,26325.0,26752.0,27788.0,27981.0,27033.0,27242.0,21165.0,21173.0,22588.0,6788.0,6962.0,6439.0,6756.0,7264.0,7503.0,9177.0,10497.0,11723.0,13359.0,15432.0,16186.0,17283.0,4208.0,6345.0,16308.0,460173.0
PUERTO RICO,4087.0,4110.0,4350.0,4671.0,4222.0,4566.0,4908.0,4364.0,4402.0,4889.0,5073.0,5022.0,5062.0,5213.0,4415.0,4380.0,4214.0,4197.0,4210.0,4456.0,5051.0,5003.0,4927.0,4260.0,4931.0,3882.0,2755.0,3637.0,125257.0
QATAR,309.0,327.0,333.0,320.0,357.0,378.0,376.0,587.0,557.0,732.0,913.0,946.0,964.0,1405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8504.0
REUNION,304.0,350.0,374.0,400.0,394.0,430.0,424.0,426.0,432.0,430.0,409.0,279.0,381.0,396.0,422.0,420.0,471.0,447.0,416.0,406.0,426.0,458.0,551.0,574.0,602.0,255.0,251.0,495.0,11623.0
ROMANIA,5429.0,5205.0,5149.0,4831.0,5224.0,5264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31102.0
RUSSIA,0.0,0.0,0.0,0.0,0.0,0.0,20121.0,21956.0,21141.0,20719.0,20771.0,573.0,1149.0,1252.0,1247.0,1196.0,1269.0,1351.0,1486.0,0.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115901.0
RWANDA,0.0,0.0,0.0,0.0,0.0,104.0,113.0,0.0,0.0,0.0,0.0,531.0,610.0,669.0,664.0,667.0,908.0,1061.0,1122.0,1220.0,1298.0,1377.0,1570.0,1711.0,1634.0,487.0,510.0,0.0,16256.0
SABA,25.0,24.3,28.6,25.4,24.3,24.4,23.9,21.5,20.5,23.2,24.9,22.9,21.7,22.5,23.7,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.29999999999995
SAINT KITTS AND NEVIS,203.0,172.0,194.0,250.0,226.0,247.0,334.0,240.0,247.0,383.0,365.0,350.0,379.0,533.0,548.0,624.0,723.0,666.0,695.0,817.0,1036.0,1055.0,1193.0,1277.0,1107.0,301.0,122.0,589.0,14876.0
SAINT LUCIA,407.0,422.0,563.0,629.0,666.0,727.0,747.0,648.0,683.0,790.0,720.0,670.0,905.0,925.0,982.0,984.0,950.0,889.0,921.0,987.0,1031.0,948.0,1064.0,1165.0,1220.0,433.0,297.0,714.0,22087.0
SAINT VINCENT AND THE GRENADINES,218.0,216.0,200.0,202.0,223.0,256.0,254.0,248.0,242.0,262.0,257.0,306.0,328.0,250.0,271.0,231.0,208.0,200.0,200.0,205.0,206.0,227.0,303.0,355.0,399.0,155.0,57.0,210.0,6689.0
SAMOA,68.0,73.0,68.0,78.0,85.0,88.0,88.0,89.0,92.0,98.0,102.0,116.0,122.0,122.0,129.0,130.0,128.0,135.0,125.0,131.0,139.0,146.0,157.0,172.0,181.0,24.0,3.0,50.0,2939.0
SAN MARINO,28.0,30.0,28.0,36.0,34.0,43.0,49.0,46.0,41.0,42.0,2107.0,2136.0,2164.0,2112.0,2056.0,1976.0,2038.0,1869.0,1905.0,2004.0,1888.0,2000.0,1937.0,1874.0,1904.0,1015.0,1354.0,0.0,32716.0
SAO TOME AND PRINCIPE,6.2,6.4,4.8,5.6,5.8,7.1,7.7,9.2,10.0,10.6,15.8,12.3,11.8,14.5,15.2,8.0,12.2,0.0,0.0,0.0,25.6,28.9,28.9,33.4,34.9,10.7,15.1,0.0,340.69999999999993
SAUDI ARABIA,3325.0,0.0,0.0,0.0,0.0,6585.0,6727.0,7511.0,7332.0,11083.0,10417.0,10962.0,13479.0,17717.0,13319.0,13025.0,15776.0,19847.0,19934.0,23010.0,21834.0,20887.0,18607.0,17570.0,20293.0,4882.0,3869.0,18256.0,326247.0
SENEGAL,286.0,288.0,320.0,365.0,378.0,400.0,409.0,434.0,502.0,677.0,778.0,876.0,879.0,877.0,815.0,906.0,977.0,967.0,1069.0,976.0,1015.0,1219.0,1376.0,0.0,0.0,0.0,0.0,0.0,16789.0
SERBIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,339.0,392.0,453.0,469.0,696.0,646.0,645.0,683.0,764.0,810.0,922.0,1029.0,1132.0,1281.0,1497.0,1711.0,1847.0,446.0,871.0,1773.0,18718.0
SERBIA AND MONTENEGRO,228.0,301.0,298.0,283.0,152.0,239.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1852.0
SEYCHELLES,127.0,142.0,136.0,134.0,130.0,140.0,138.0,135.0,127.0,126.0,135.0,151.0,171.0,173.0,178.0,191.0,210.0,216.0,237.0,239.0,296.0,333.0,382.0,405.0,428.0,135.0,183.0,339.0,5737.0
SIERRA LEONE,14.0,22.0,8.0,13.0,11.0,16.0,24.0,28.0,38.0,44.0,40.0,34.0,32.0,36.0,37.0,39.0,52.0,75.0,95.0,53.0,31.0,60.0,59.0,66.0,71.0,26.0,44.0,0.0,1068.0
SINGAPORE,7137.0,7292.0,7198.0,6242.0,6958.0,7691.0,7522.0,7567.0,6127.0,8329.0,8943.0,9751.0,10285.0,10116.0,9682.0,11642.0,13171.0,14496.0,15568.0,15095.0,15232.0,16403.0,17424.0,18508.0,19116.0,2743.0,330.0,6305.0,286873.0
SINT EUSTATIUS,8.8,8.2,8.5,8.6,9.2,9.1,9.7,9.8,10.5,11.1,10.4,9.6,11.6,11.8,12.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.29999999999998
SINT MAARTEN (DUTCH PART),1024.0,1022.0,1325.0,1339.0,1061.0,1300.0,1271.0,1436.0,1600.0,1823.0,1956.0,1890.0,1891.0,1821.0,1655.0,1956.0,2080.0,2210.0,2253.0,2502.0,2407.0,2197.0,1640.0,1775.0,1952.0,542.0,482.0,1217.0,45627.0
SLOVAKIA,903.0,951.0,814.0,896.0,975.0,1053.0,1219.0,1399.0,1387.0,1401.0,1515.0,1612.0,1685.0,1767.0,1298.0,1327.0,1460.0,1528.0,12583.0,11556.0,14936.0,17376.0,15406.0,15299.0,16086.0,0.0,0.0,0.0,126432.0
SLOVENIA,732.0,832.0,974.0,977.0,884.0,1090.0,1219.0,1302.0,1373.0,1499.0,1555.0,1617.0,1751.0,1958.0,1824.0,2049.0,2236.0,2377.0,2502.0,2675.0,3022.0,3397.0,3991.0,4425.0,4702.0,1216.0,1832.0,3936.0,57947.0
SOLOMON ISLANDS,12.0,10.0,14.0,16.0,0.0,5.0,0.0,0.0,7.0,6.0,10.0,13.0,15.0,16.0,18.0,21.0,23.0,24.0,24.0,20.0,22.0,23.0,26.0,28.0,29.0,4.0,0.7,0.0,386.7
SOUTH AFRICA,4488.0,4915.0,4976.0,5732.0,5890.0,5872.0,5787.0,6430.0,6505.0,6678.0,7369.0,8396.0,9091.0,9592.0,9532.0,11303.0,12097.0,13069.0,14318.0,14529.0,13952.0,15121.0,14975.0,15004.0,14797.0,3886.0,2664.0,7342.0,254310.0
SOUTH KOREA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0,955.0,1046.0,2258.0,505.0,218.0,279.0,3.0,0.0,0.0,5963.0
SPAIN,52460.0,55077.0,62415.0,68068.0,72039.0,74580.0,75563.0,79314.0,82326.0,85981.0,92563.0,96152.0,98907.0,97670.0,91900.0,93744.0,99187.0,98128.0,103230.0,107145.0,109834.0,115561.0,121718.0,124455.0,126170.0,36410.0,51631.0,104968.0,2477196.0
SRI LANKA,414.0,315.0,384.0,409.0,464.0,445.0,397.0,457.0,583.0,681.0,669.0,689.0,592.0,526.0,538.0,766.0,976.0,1133.0,1415.0,1665.0,1993.0,2168.0,2247.0,2521.0,2027.0,540.0,194.6,758.8,25967.399999999998
SUDAN,29.0,38.0,30.0,36.0,39.0,38.0,50.0,52.0,52.0,61.0,246.0,328.0,436.0,440.0,420.0,495.0,536.0,575.0,591.0,684.0,741.0,800.0,813.0,836.0,0.0,0.0,0.0,0.0,8366.0
SURINAME,69.0,74.0,78.0,70.0,72.0,72.0,68.0,60.0,99.0,138.0,161.0,154.3,167.4,151.3,151.3,205.5,220.3,240.3,249.7,252.8,228.8,256.9,278.9,0.0,0.0,0.0,0.0,0.0,3518.5000000000005
SWEDEN,2310.0,2376.0,2388.0,2573.0,2595.0,3828.0,4108.0,4276.0,4268.0,4676.0,4883.0,4729.0,5224.0,4555.0,4899.0,5183.0,19405.0,20011.0,18803.0,19945.0,6482.0,6782.0,7054.0,7440.0,7616.0,1957.0,2990.0,6629.0,187985.0
SWITZERLAND,6946.0,6730.0,7039.0,7185.0,7154.0,7821.0,7455.0,6868.0,6530.0,0.0,7229.0,7863.0,8448.0,8608.0,8294.0,8628.0,8534.0,8566.0,8967.0,9158.0,9305.0,10402.0,11133.0,11715.0,11818.0,3690.0,4390.0,9160.0,219636.0
SYRIA,825.0,839.0,901.0,1278.0,2682.0,3412.0,3671.0,4678.0,4837.0,6334.0,5859.0,5682.0,5434.0,6951.0,7721.0,10970.0,6476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78550.0
TAJIKISTAN,0.0,0.0,0.0,0.0,4.5,7.699999999999999,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4
TANZANIA,295.0,326.0,360.0,482.0,627.0,501.0,525.0,575.0,576.0,583.0,613.0,644.0,719.0,770.0,714.0,783.0,868.0,1077.0,1096.0,1140.0,1137.0,1284.0,1327.0,1506.0,1527.0,621.0,1027.0,1455.0,23158.0
THAILAND,6952.0,7433.0,7530.0,8204.0,9151.0,10096.0,10751.0,10873.0,10082.0,11737.0,11567.0,13822.0,14464.0,14584.0,14150.0,15936.0,19230.0,22354.0,26547.0,24810.0,29923.0,32530.0,35592.0,38178.0,39916.0,6725.0,511.0,0.0,453648.0
TIMOR-LESTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,36.0,44.0,40.0,51.0,58.0,79.0,60.0,62.0,66.0,74.0,75.0,81.0,18.0,6.0,0.0,786.0
TOGO,53.0,58.0,92.0,69.0,70.0,60.0,57.0,58.0,61.0,83.0,81.0,94.0,86.0,74.0,150.0,202.0,300.0,235.0,329.0,282.9,274.0,339.0,515.0,573.0,876.0,482.0,0.0,0.0,5553.9
TONGA,33.0,31.0,29.0,35.0,44.0,43.0,38.0,45.0,51.0,51.0,60.0,54.0,65.0,65.0,75.0,65.0,68.0,57.0,60.0,65.0,73.0,87.0,87.0,77.0,94.0,12.0,0.2,22.4,1486.6000000000001
TRINIDAD AND TOBAGO,282.0,317.0,360.0,377.0,421.0,503.0,468.0,451.0,474.0,501.0,529.0,534.0,531.0,482.0,534.0,490.0,491.0,504.0,467.0,459.0,522.0,498.0,470.0,508.0,482.0,141.0,42.0,254.0,12092.0
TUNISIA,4186.0,3986.0,4392.0,4831.0,5000.0,5244.0,5663.0,5322.0,5492.0,6419.0,6975.0,7176.0,7512.0,7750.0,8507.0,8640.0,6038.0,6999.0,7352.0,7163.0,5359.0,5724.0,7052.0,8299.0,9429.0,2012.0,2475.0,6441.0,171438.0
TURKEY,7727.0,8614.0,9689.0,9753.0,7487.0,10428.0,11619.0,13256.0,14030.0,17517.0,21125.0,19819.0,27215.0,31138.0,31760.0,32997.0,36769.0,37715.0,39861.0,41627.0,41114.0,30907.0,37970.0,46113.0,51747.0,15971.0,30039.0,51388.0,735395.0
TURKMENISTAN,233.0,282.0,332.0,380.0,0.0,3.4,5.2,10.8,8.2,14.8,11.6,5.6,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.8
TURKS AND CAICOS ISLANDS,79.0,88.0,93.0,111.0,121.0,152.0,166.0,155.0,164.0,173.0,176.0,248.0,265.0,757.0,865.0,899.0,1010.0,969.0,1070.0,1330.0,1316.0,1296.0,1243.0,1463.0,1599.0,371.0,432.0,0.0,16611.0
TUVALU,0.9,1.0,1.0,1.0,1.1,1.1,1.1,1.3,1.4,1.3,1.1,1.1,1.1,1.7,1.6,1.7,1.2,1.1,1.3,1.4,2.4,2.5,2.5,3.1,3.7,0.6,0.04,0.24,39.580000000000005
UGANDA,160.0,174.0,175.0,195.0,189.0,193.0,205.0,254.0,305.0,512.0,468.0,539.0,642.0,844.0,807.0,946.0,1151.0,1197.0,1206.0,1266.0,1303.0,1323.0,1402.0,1506.0,1543.0,473.0,513.0,815.0,20306.0
UKRAINE,6127.0,6750.0,14743.0,12003.0,10990.0,11691.0,11877.0,12793.0,15161.0,18583.0,20489.0,21714.0,26162.0,28827.0,24033.0,24114.0,24535.0,25061.0,26025.0,13228.0,13025.0,13734.0,14579.0,14342.0,13711.0,3382.0,4272.0,2307.0,434258.0
UNITED ARAB EMIRATES,2315.0,2572.0,2476.0,2991.0,3393.0,3907.0,4134.0,5445.0,5871.0,6195.0,7126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16232.0,19313.0,20894.0,21805.0,23092.0,25282.0,8084.0,12784.0,0.0,193911.0
UNITED KINGDOM,23537.0,25163.0,25515.0,25745.0,25394.0,25209.0,22835.0,24180.0,24715.0,27755.0,29970.0,32713.0,32778.0,31888.0,31072.0,30398.0,31886.0,32221.0,33567.0,35337.0,36792.0,39129.0,41081.0,40283.0,40857.0,11101.0,6384.0,31244.0,818749.0
UNITED STATES OF AMERICA,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.0,171630.0,179310.0,178311.0,176865.0,175261.0,174292.0,169325.0,165478.0,44792.0,66773.0,50870.0,3367641.0
UNITED STATES VIRGIN ISLANDS,1741.0,1779.0,2128.0,2139.0,1965.0,2396.0,2497.0,2337.0,2395.0,2620.0,2603.0,2571.0,2606.0,2435.0,2245.0,2531.0,2686.0,2640.0,2701.0,2814.0,2643.0,2573.0,1954.0,1922.0,2074.0,862.0,1073.0,0.0,60930.0
